account_name,statement_type
Aplicações financeiras avaliadas ao valor justo por meio do resultado,BPA
Aplicações financeiras de curto prazo,BPA
Aplicações financeiras de liquidez imediata,BPA
Aplicações financeiras de liquidez não imediata,BPA
Aplicações financeiras de longo prazo,BPA
Aplicações financeiras mensuradas ao custo amortizado,BPA
Aplicações financeiras no mercado aberto,BPA
Aplicações financeiras restritas,BPA
Aplicações financeiras vinculadas,BPA
"Aplicações financeiras, interfinanceiras e títulos e valores mobiliários",BPA
Aplicações livres,BPA
Aplicações no Mercado Aberto,BPA
Aplicações no mercado aberto,BPA
Aquisição de combustivel conta CCC,BPA
Aquisição de combustível - CCC,BPA
Aquisição de combustível - conta CCC,BPA
Arrendamento,BPA
Arrendamento Mercantil,BPA
Arrendamento UTE Piratininga,BPA
Arrendamento financeiro,BPA
Arrendamento mercantil,BPA
Arrendamento mercantil - direito de uso de ativos,BPA
Arrendamentos,BPA
Arrendamentos Financeiros a Receber,BPA
Arrendamentos a Receber,BPA
Arrendamentos a receber,BPA
Assunção de dívida a receber,BPA
Ativo Atuarial,BPA
Ativo Biológico,BPA
Ativo Biológico Cana de Açucar,BPA
Ativo Circulante,BPA
Ativo Contratual - Infra-estrutura em construção,BPA
Ativo Contratual Transmissão,BPA
Ativo Contratual da Concessão,BPA
Ativo Financeiro - Bonificação de Outorga,BPA
Ativo Financeiro - Mantidos até o Vencimento,BPA
Ativo Financeiro - Parcela A - CVA,BPA
Ativo Financeiro - Sabesp,BPA
Ativo Financeiro Bonificação de Outorga,BPA
Ativo Financeiro Disponível para Venda,BPA
Ativo Financeiro Indenizatório - Concessão,BPA
Ativo Financeiro Indenização Projeto Básico US Pery,BPA
Ativo Financeiro Indenizável,BPA
Ativo Financeiro Setorial (Parcela A e outros),BPA
"Ativo Financeiro Setorial, Líquido",BPA
Ativo Financeiro da Concessão,BPA
Ativo Financeiro de Concessão,BPA
Ativo Financeiro e setoriais da Concessão,BPA
Ativo Fiscal Corrente,BPA
Ativo Fiscal Diferido,BPA
Ativo Imobilizado Disponibilizado para Venda,BPA
Ativo Indenizatório,BPA
Ativo Não Circulante,BPA
Ativo Realizável a Longo Prazo,BPA
Ativo Relacionado aos Fundos de Pensão,BPA
Ativo Reversível da Concessão,BPA
Ativo Total,BPA
Ativo atuarial,BPA
Ativo contratual,BPA
Ativo contratual - Infraestrutura em construção,BPA
Ativo da Concessão  -  Contratual,BPA
Ativo da Concessão  - Financeiro,BPA
Ativo de Concessão,BPA
Ativo de Concessão - Contratual,BPA
Ativo de Concessão - Financeiro,BPA
Ativo de Contrato,BPA
Ativo de Contrato da Concessão,BPA
Ativo de Direito de Uso,BPA
Ativo de Indenização,BPA
Ativo de concessão,BPA
Ativo de contra,BPA
Ativo de contrato,BPA
Ativo de contrato de concessão,BPA
Ativo de direiro de uso,BPA
Ativo de direito de uso,BPA
Ativo de direito de uso - IFRS 16,BPA
Ativo de direito uso,BPA
Ativo de indenização,BPA
Ativo de indenização - combinação de negócios,BPA
Ativo de indenização por combinação de negócios,BPA
Ativo disponível para venda,BPA
Ativo financeiro,BPA
Ativo financeiro - Concessões e Itaipu,BPA
Ativo financeiro da concessão,BPA
Ativo financeiro de concessão,BPA
Ativo financeiro indenizável da concessão,BPA
Ativo financeiro setorial,BPA
Ativo financeiro setorial (Parcela A e outros),BPA
Ativo financeiro vinculado à concessão,BPA
Ativo fiscal corrente,BPA
Ativo fiscal diferido,BPA
"Ativo fiscal diferido, líquido",BPA
Ativo imobilizado disponibilizado para venda,BPA
Ativo indenizatório,BPA
Ativo indenizável (concessão),BPA
Ativo mantido para venda,BPA
